# Section: Parameters
Param,Value
p,0.500000
k,20
step_size,0.100000
num_nodes,1000
goal_cost,3.099647

# Section: Joint_Limits
joint,q_min,q_max
1,-2.897300,2.897300
2,-1.762800,1.762800
3,-2.897300,2.897300
4,-3.071800,-0.069800
5,-2.897300,2.897300

# Section: Start
q1,q2,q3,q4,q5
0.000000,0.000000,0.000000,0.000000,0.000000

# Section: Goal
q1,q2,q3,q4,q5
0.500000,1.000000,1.000000,-0.500000,1.000000

# Section: Obstacles
center_x,center_y,center_z,radius
0.300000,-0.170000,0.090000,0.200000

# Section: All_Edges
q1_src,q2_src,q3_src,q4_src,q5_src,q1_dst,q2_dst,q3_dst,q4_dst,q5_dst
0.000000,0.000000,0.000000,0.000000,0.000000,-0.433692,-1.029681,0.392296,-2.977797,1.983403
0.000000,0.000000,0.000000,0.000000,0.000000,-0.142720,0.223084,1.132937,-2.653527,0.605057
0.000000,0.000000,0.000000,0.000000,0.000000,-0.342979,0.392925,1.061859,-2.441903,0.808068
0.000000,0.000000,0.000000,0.000000,0.000000,-1.184221,-1.390869,-0.251865,-2.416042,-0.483791
0.000000,0.000000,0.000000,0.000000,0.000000,1.047116,0.109063,-0.302576,-1.412015,0.537140
0.000000,0.000000,0.000000,0.000000,0.000000,1.134657,1.263430,-1.008499,-2.410636,1.223527
0.000000,0.000000,0.000000,0.000000,0.000000,1.963984,1.270643,-1.447193,-2.955218,-1.139998
0.000000,0.000000,0.000000,0.000000,0.000000,0.877794,-1.034114,-1.309805,-2.427603,-0.711234
0.000000,0.000000,0.000000,0.000000,0.000000,0.685234,-0.576244,0.902350,-1.914839,1.052379
0.000000,0.000000,0.000000,0.000000,0.000000,-1.514727,0.634061,1.390175,-2.356615,-0.708512
0.000000,0.000000,0.000000,0.000000,0.000000,-0.707013,0.723045,-1.456043,-2.080382,-0.379825
0.000000,0.000000,0.000000,0.000000,0.000000,-0.884178,-1.025488,0.461540,-2.046427,0.215927
0.000000,0.000000,0.000000,0.000000,0.000000,0.666253,0.662404,-0.722819,-1.454636,0.139993
0.000000,0.000000,0.000000,0.000000,0.000000,0.342952,0.452116,0.189344,-1.165263,-0.290644
0.000000,0.000000,0.000000,0.000000,0.000000,0.006304,0.726955,0.198700,-1.448515,-0.407963
0.006304,0.726955,0.198700,-1.448515,-0.407963,-1.306449,0.342149,1.018930,-1.742764,-0.314120
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.971670,0.149763,-0.038958,-2.827057,-0.560562
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.403450,0.690304,-0.243244,-2.795330,0.309310
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.299135,0.774275,-0.237843,-2.692925,0.416787
0.006304,0.726955,0.198700,-1.448515,-0.407963,-1.184100,0.421718,0.577302,-1.551796,-0.866795
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.928467,-0.156469,1.032098,-1.441650,-0.887235
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.090447,0.683281,0.305737,-2.422616,-1.688614
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.310348,0.418743,0.958225,-1.568666,0.839413
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.316078,0.325136,1.164340,-2.488591,-0.305949
0.006304,0.726955,0.198700,-1.448515,-0.407963,0.011637,0.293075,0.457572,-2.908155,-1.077542
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.428091,0.184465,0.572988,-2.248016,-0.579288
0.006304,0.726955,0.198700,-1.448515,-0.407963,-0.367484,0.471715,-0.289429,-2.057673,-0.648423
-0.367484,0.471715,-0.289429,-2.057673,-0.648423,-1.246372,-0.130969,-0.356145,-2.415833,-0.598021
-0.367484,0.471715,-0.289429,-2.057673,-0.648423,-1.255662,1.011035,-0.594247,-1.529940,-1.429197
-1.255662,1.011035,-0.594247,-1.529940,-1.429197,-1.309098,1.061784,-0.711700,-0.359985,-2.493470
0.011637,0.293075,0.457572,-2.908155,-1.077542,-0.838117,-0.382591,0.184601,-2.871809,-1.570189
-0.316078,0.325136,1.164340,-2.488591,-0.305949,-0.317115,-0.041893,1.814074,-2.773913,-0.413478
-0.317115,-0.041893,1.814074,-2.773913,-0.413478,-0.010154,-0.598123,2.513071,-3.049182,-1.591587
-0.090447,0.683281,0.305737,-2.422616,-1.688614,0.173666,0.628938,0.537570,-2.626422,-1.900130
-0.090447,0.683281,0.305737,-2.422616,-1.688614,-0.817799,0.387969,-0.680956,-2.157621,-2.753249
-0.928467,-0.156469,1.032098,-1.441650,-0.887235,-0.832159,-0.048115,2.291618,-0.703348,-1.162360
-0.928467,-0.156469,1.032098,-1.441650,-0.887235,-1.580722,-0.329974,2.035418,-0.674750,-1.349184
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.176287,1.243909,1.249045,-1.303296,-1.290656
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-2.105634,0.736537,0.306071,-2.181677,-0.464838
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.356799,0.515055,-0.003860,-2.273210,-2.032527
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-2.627848,0.422012,0.359224,-2.033347,-1.070903
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-2.273719,0.945313,0.002766,-1.769621,-1.451529
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-0.952155,0.262947,0.085669,-1.530992,-2.275989
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-2.065072,0.556867,1.318139,-0.710710,-1.485108
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.256159,1.344700,0.542656,-1.246996,-0.559965
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.580060,-0.566785,-0.010438,-1.754919,-1.632494
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-2.129695,0.607400,0.050366,-0.906990,-0.853596
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.271753,1.129846,0.488599,-1.545201,-1.051998
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.073131,-0.051130,-0.127484,-1.656758,-1.878703
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.418621,1.263823,0.268814,-1.362232,-0.908745
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-2.284807,0.684221,0.111042,-2.177031,-0.448853
-1.184100,0.421718,0.577302,-1.551796,-0.866795,-1.427699,1.352890,0.356240,-2.513627,-1.597170
-1.427699,1.352890,0.356240,-2.513627,-1.597170,-1.573311,1.683305,0.184921,-2.664161,-2.321883
-1.418621,1.263823,0.268814,-1.362232,-0.908745,-2.523544,1.665925,0.255136,-1.391293,0.116561
-1.073131,-0.051130,-0.127484,-1.656758,-1.878703,-1.403389,-0.328506,-0.231412,-2.178168,-2.706380
-2.129695,0.607400,0.050366,-0.906990,-0.853596,-2.737272,0.278046,-0.356518,-1.054378,-0.995787
-2.129695,0.607400,0.050366,-0.906990,-0.853596,-2.768748,-0.006469,-0.137850,-0.576023,-1.113854
-2.129695,0.607400,0.050366,-0.906990,-0.853596,-2.551267,0.605142,0.476367,-0.099193,-1.511471
-2.129695,0.607400,0.050366,-0.906990,-0.853596,-2.747745,0.187881,0.118496,-0.086065,-1.727707
-2.129695,0.607400,0.050366,-0.906990,-0.853596,-2.615898,-0.183494,-0.315001,-0.383076,-2.166293
-2.065072,0.556867,1.318139,-0.710710,-1.485108,-2.676979,0.868028,0.921547,-0.663804,-2.286737
-2.065072,0.556867,1.318139,-0.710710,-1.485108,-2.176551,1.049033,0.671663,-0.540279,-2.332243
-2.065072,0.556867,1.318139,-0.710710,-1.485108,-2.443426,0.663585,1.651501,-0.684346,-2.112163
-0.952155,0.262947,0.085669,-1.530992,-2.275989,-1.460973,0.697069,-0.787412,-1.372023,-2.861040
-2.273719,0.945313,0.002766,-1.769621,-1.451529,-2.450275,1.449615,-0.841023,-1.796636,-1.649465
-2.273719,0.945313,0.002766,-1.769621,-1.451529,-2.778390,1.151526,-0.778819,-2.010003,-1.144555
-2.273719,0.945313,0.002766,-1.769621,-1.451529,-2.594830,0.642343,-0.184534,-1.333116,-2.402781
-2.273719,0.945313,0.002766,-1.769621,-1.451529,-2.403204,1.291017,-0.004714,-2.181594,-1.361075
-1.356799,0.515055,-0.003860,-2.273210,-2.032527,-2.634836,0.551354,0.203694,-2.825565,-2.694841
-2.105634,0.736537,0.306071,-2.181677,-0.464838,-2.655990,1.165689,0.413346,-1.248170,0.134191
-0.403450,0.690304,-0.243244,-2.795330,0.309310,-0.942549,0.793194,0.224906,-2.889792,1.100972
-0.403450,0.690304,-0.243244,-2.795330,0.309310,-1.291359,-0.177419,-0.896630,-2.553184,0.706830
-0.403450,0.690304,-0.243244,-2.795330,0.309310,-1.418330,0.619251,0.246708,-2.372200,0.426644
-0.942549,0.793194,0.224906,-2.889792,1.100972,-1.823975,1.472828,-0.437333,-2.810509,1.829637
-0.942549,0.793194,0.224906,-2.889792,1.100972,-1.904714,1.154128,0.491606,-2.058528,1.754902
-1.306449,0.342149,1.018930,-1.742764,-0.314120,-1.255319,1.188964,0.249157,-1.949628,0.726237
-1.306449,0.342149,1.018930,-1.742764,-0.314120,-2.304124,0.887643,2.353961,-0.840008,0.190220
-1.255319,1.188964,0.249157,-1.949628,0.726237,-1.525804,1.437365,0.532458,-2.020445,1.206327
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.862369,-0.071985,0.487902,-0.859859,0.334593
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.870895,-0.073054,0.670679,-2.084090,-0.172780
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.650490,-0.055005,0.931888,-1.411690,0.564834
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.680006,0.081388,0.985638,-0.281123,0.186935
0.342952,0.452116,0.189344,-1.165263,-0.290644,-0.088203,0.043921,1.400479,-0.973865,-0.564683
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.550771,-0.566665,0.402397,-0.407644,0.328679
0.342952,0.452116,0.189344,-1.165263,-0.290644,1.238784,1.409068,0.719119,-1.451377,-0.354950
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.863828,-0.605059,0.754508,-1.241085,0.367603
