# Section: Parameters
Param,Value
p,0.500000
k,20
step_size,0.100000
num_nodes,1000
goal_cost,3.846126

# Section: Joint_Limits
joint,q_min,q_max
1,-2.897300,2.897300
2,-1.762800,1.762800
3,-2.897300,2.897300
4,-3.071800,-0.069800
5,-2.897300,2.897300

# Section: Start
q1,q2,q3,q4,q5
-1.500000,1.000000,1.000000,-0.500000,1.000000

# Section: Goal
q1,q2,q3,q4,q5
0.500000,1.000000,1.000000,-0.500000,1.000000

# Section: Obstacles
center_x,center_y,center_z,radius
0.300000,-0.170000,0.090000,0.200000

# Section: All_Edges
q1_src,q2_src,q3_src,q4_src,q5_src,q1_dst,q2_dst,q3_dst,q4_dst,q5_dst
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.705330,0.991451,0.730545,-1.257416,2.820879
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.200000,1.000000,1.000000,-0.500000,1.000000
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.548483,-1.443358,0.686000,-1.923649,2.800130
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.151566,0.974659,1.053136,-0.494462,0.986337
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.121297,1.007484,0.876093,-0.559875,0.878295
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.433692,-1.029681,0.392296,-2.977797,1.983403
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.745088,0.745107,1.681451,-1.252708,2.470243
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.254732,-0.213875,-1.728418,-0.382718,-0.142720
-1.500000,1.000000,1.000000,-0.500000,1.000000,1.132937,-1.271573,0.605057,-1.451197,-1.720641
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.251865,-0.992666,-0.483791,-0.420193,-1.017850
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.131215,-1.182289,0.197535,-1.616340,1.115090
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.482690,-1.169473,-1.629649,-1.396378,-0.557231
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.425962,-0.892414,1.137505,-0.933564,-2.039195
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.755300,-0.909041,1.756574,-1.659958,2.801244
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.008499,-0.986318,1.223527,-0.641678,-0.876920
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.685814,0.146129,1.134492,-2.385693,-1.883506
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.803818,-0.779611,1.160993,-0.530123,2.064757
-1.500000,1.000000,1.000000,-0.500000,1.000000,0.789993,-0.879772,0.520766,-0.133164,-0.076824
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.380158,-0.528564,0.840816,-1.063690,2.110205
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.085297,-0.448855,-0.610221,-0.537472,2.491776
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.356518,0.606495,-0.995787,-2.606365,2.792075
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.659330,-0.356717,-0.385221,-0.838184,-1.443664
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.428674,-0.252734,1.092282,-2.897103,2.405997
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.881331,-1.702297,1.526091,-0.649447,-0.890605
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.152692,1.097181,1.857977,-1.192729,1.856745
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.157389,-0.881342,0.466720,-0.468716,0.358493
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.365911,0.361166,0.311188,-2.433191,2.585519
-1.500000,1.000000,1.000000,-0.500000,1.000000,0.077220,-0.940531,0.471132,-0.480658,2.204034
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.521045,-0.351774,-0.129133,-2.822960,0.164393
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.125545,-1.494148,2.552706,-1.821050,0.470305
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.417806,1.327958,0.298931,-2.576968,-0.514241
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.696499,1.333455,1.489207,-2.931017,-1.340450
